syn1	>AVX54569.1	Chromosomal replication initiator protein [synthetic bacterium JCVI-Syn3A]
syn10	>AVX54578.1	Nucleoside ABC transporter ATP-binding protein [synthetic bacterium JCVI-Syn3A]
syn105	>AVX54614.1	Exodeoxyribonuclease VII small subunit [synthetic bacterium JCVI-Syn3A]
syn106	>AVX54615.1	Exodeoxyribonuclease VII large subunit [synthetic bacterium JCVI-Syn3A]
syn107	>AVX54616.1	Transcription antitermination factor [synthetic bacterium JCVI-Syn3A]
syn108	>AVX54617.1	Uncharacterized lipoprotein [synthetic bacterium JCVI-Syn3A]
syn109	>AVX54618.1	Deoxyribonuclease IV [synthetic bacterium JCVI-Syn3A]
syn11	>AVX54579.1	Nucleoside ABC transporter substrate-binding protein [synthetic bacterium JCVI-Syn3A]
syn113	>AVX54619.1	Glycolipid synthase A [synthetic bacterium JCVI-Syn3A]
syn114	>AVX54620.1	Glycolipid synthase B [synthetic bacterium JCVI-Syn3A]
syn115	>AVX54621.1	UTP--glucose-1-phosphate uridylyltransferase [synthetic bacterium JCVI-Syn3A]
syn116	>AVX54622.1	Uncharacterized protein JCVISYN3A_0116 [synthetic bacterium JCVI-Syn3A]
syn117	>AVX54623.1	Acyl-phosphate glycerol 3-phosphate acyltransferase [synthetic bacterium JCVI-Syn3A]
syn12	>AVX54580.1	Methionine--tRNA ligase [synthetic bacterium JCVI-Syn3A]
syn126	>AVX54624.1	Glutamate--tRNA ligase [synthetic bacterium JCVI-Syn3A]
syn127	>AVX54625.1	Uncharacterized phosphohydrolase [synthetic bacterium JCVI-Syn3A]
syn128	>AVX54626.1	DNA-directed RNA polymerase subunit delta [synthetic bacterium JCVI-Syn3A]
syn129	>AVX54627.1	CTP synthase [synthetic bacterium JCVI-Syn3A]
syn131	>AVX54628.1	Fructose-1,6-bisphosphate aldolase [synthetic bacterium JCVI-Syn3A]
syn132	>AVX54629.1	Toxin-antitoxin AAA ATPase [synthetic bacterium JCVI-Syn3A]
syn133	>AVX54630.1	Toxin-antitoxin serine protease [synthetic bacterium JCVI-Syn3A]
syn137	>AVX54631.1	50S ribosomal protein L31 [synthetic bacterium JCVI-Syn3A]
