16pkA02 syn606 3.40.50.1260
1a3wA02 syn221 3.20.20.60
1a5tA01 syn44 3.40.50.300
1ad2A01 syn809 3.30.190.20
1ah9A00 syn649 2.40.50.140
1aipA01 syn151 3.40.50.300
1aj6A00 syn452 3.30.565.10
1atiB01 syn405 3.30.930.10
1b0uA00 syn427 3.40.50.300
1b0zA01 syn445 3.40.50.10490
1b7yA00 syn529 3.30.930.10
1bdfB02 syn645 2.170.120.12
1bu6O01 syn218 3.30.420.40
1c0aA02 syn287 3.30.930.10
1c17M00 syn796 1.20.120.220
1crwG02 syn607 3.30.360.10
1ctfA00 syn806 3.30.1390.10
1d0qA00 syn406 3.90.580.10
1darA01 syn150 3.40.50.300
1dd5A02 syn536 3.30.1360.40
1dj0A02 syn640 3.30.70.580
1dkgB02 syn543 2.30.22.10
1dpbA00 syn227 3.30.559.10
1dqeA00 syn440 1.10.238.20
1e9iC02 syn213 3.20.20.120
1euhA02 syn451 3.40.309.10
1eyvB00 syn107 1.10.940.10
1ez4A02 syn475 3.90.110.10
1f59A00 syn373 1.25.10.10
1ffyA01 syn519 3.40.50.620
1fkaG00 syn149 1.10.455.10
1fs5A00 syn726 3.40.50.1360
1fu0A00 syn694 3.30.1340.10
1fx0B02 syn790 3.40.50.300
1g2rA00 syn299 3.30.1230.10
1g9sA00 syn216 3.40.50.2020
1gaxA01 syn260 3.40.50.620
1gd8A00 syn644 3.90.1030.10
1go3E01 syn775 2.40.50.140
1grjA01 syn253 1.10.287.180
1gutA00 syn248 2.40.50.100
1gvfB00 syn131 3.20.20.70
1gyzA00 syn198 1.10.1900.20
1gz0B02 syn838 3.40.1280.10
1hc7A01 syn282 3.30.930.10
1hh2P03 syn300 3.30.300.20
1httA01 syn288 3.30.930.10
1htwA00 syn270 3.40.50.300
1i5eA00 syn798 3.40.50.2020
1i94H02 syn657 3.30.1490.10
1ib8A02 syn301 2.30.30.180
1ilyA00 syn655 3.30.420.100
1iq4A00 syn659 3.30.1440.10
1iuqA02 syn512 3.40.1130.10
1jalA01 syn872 3.40.50.300
1jbkA00 syn545 3.40.50.300
1jceA01 syn853 3.30.420.40
1jilA01 syn613 3.40.50.620
1jogA00 syn326 1.20.120.330
1josA00 syn289 3.30.300.20
1jr3A01 syn47 3.40.50.300
1jvmB00 syn685 1.10.287.70
1k8wA01 syn290 3.30.2350.10
1knxE02 syn821 3.40.50.300
1kqpA00 syn378 3.40.50.620
1l0wA01 syn106 2.40.50.140
1l8qA01 syn1 3.40.50.300
1lamA02 syn154 3.40.630.10
1lfwA01 syn493 3.40.630.10
1lm4A00 syn201 3.90.45.10
1ln0A00 syn777 3.40.1440.10
1lnzA01 syn377 2.70.210.12
1lsuA00 syn686 3.40.50.720
1m4iB00 syn145 3.40.630.30
1mabA02 syn792 3.40.50.300
1mgpA01 syn617 3.40.50.10170
1mkyA02 syn348 3.40.50.300
1mxiA00 syn548 3.40.1280.10
1n0eA00 syn525 3.40.1550.20
1nktA01 syn95 3.40.50.300
1nnjA01 syn610 3.20.190.10
1nrwA01 syn907 3.40.50.1000
1nyrA03 syn222 3.30.930.10
1nz0D00 syn909 3.30.230.10
1o0wA01 syn418 1.10.1520.10
1o5hA00 syn827 1.20.120.680
1o98A02 syn729 3.40.720.10
1obhA01 syn634 3.40.50.620
1okjB01 syn271 3.30.420.40
1p6vA00 syn776 2.40.280.10
1p9pA01 syn364 3.40.1280.10
1peqA02 syn771 3.20.70.20
1pfkA01 syn220 3.40.50.450
1pg2A01 syn12 3.40.50.620
1pjrA01 syn695 3.40.50.300
1pkpA02 syn654 3.30.230.10
1przA01 syn517 3.30.2350.10
1pujA01 syn366 3.40.50.300
1q0uB00 syn410 3.40.50.300
1qwrB01 syn435 2.60.120.10
1r5jA02 syn229 3.40.50.10750
1s7oB00 syn430 1.10.10.10
1sbqA00 syn443 3.40.50.10420
1sj8A02 syn60 1.20.120.230
1st6A02 syn239 1.20.120.810
1stzA01 syn544 1.10.10.10
1su0B00 syn442 3.90.1010.10
1sulB00 syn247 3.40.50.300
1t70A00 syn431 3.60.21.10
1t9xA05 syn412 1.20.1640.10
1tigA00 syn200 3.30.110.10
1to0D00 syn361 3.40.1280.10
1tuoA01 syn733 3.40.120.10
1twdA00 syn433 3.20.20.380
1u5kA01 syn404 2.40.50.140
1u7gA00 syn870 1.10.3430.10
1u7nA00 syn419 3.40.718.10
1u89A00 syn286 1.20.120.230
1uebA01 syn391 2.30.30.30
1ulyA02 syn599 1.10.20.10
1v8qA00 syn499 2.40.50.100
1vddA03 syn46 3.40.1360.10
1vhxB00 syn215 3.30.420.140
1vj7B01 syn414 1.10.3210.10
1vkuA00 syn621 1.10.1200.10
1vp2A00 syn549 3.90.950.10
1vp7A00 syn105 1.10.287.1040
1vpkA02 syn622 3.10.150.10
1vq8T00 syn660 2.30.30.30
1vq8V00 syn663 1.10.287.310
1vs5D02 syn238 3.10.290.10
1vs5I00 syn637 3.30.230.10
1vs5O00 syn294 1.10.287.10
1vw3B01 syn668 2.40.50.140
1vw3C01 syn671 2.40.30.10
1vw4F02 syn656 3.90.930.12
1vw4K00 syn664 3.90.1170.10
1vw4M01 syn365 2.30.30.790
1vw4V00 syn137 6.20.130.10
1vw4Z00 syn199 4.10.410.60
1wfxA02 syn281 3.20.170.30
1wy5A01 syn40 3.40.50.620
1xdzA00 syn874 3.40.50.150
1xp3A00 syn109 3.20.20.150
1xwmA00 syn428 1.20.58.220
1xzpB00 syn81 3.30.1360.120
1y0eA00 syn494 3.20.20.70
1yfsA01 syn163 3.30.930.10
1yjsA02 syn799 3.40.640.10
1ynjD04 syn803 2.40.40.20
1zbtA02 syn141 3.30.70.1660
1zu4A02 syn429 3.40.50.300
2a07J00 syn128 1.10.10.10
2au5A00 syn315 1.20.120.590
2avtA02 syn2 3.70.10.10
2b3tA02 syn142 3.40.50.150
2b8tA01 syn140 3.40.50.300
2ba0A03 syn359 3.30.1370.10
2bg9C02 syn852 1.20.58.390
2bi7A01 syn814 3.40.50.720
2c20A01 syn813 3.40.50.720
2c5sA02 syn240 3.40.50.620
2cayB00 syn249 2.30.29.30
2cm4A00 syn835 2.40.128.20
2d1hB00 syn609 1.10.10.10
2derB01 syn387 3.40.50.620
2diyA01 syn505 3.40.30.10
2dy1A01 syn913 3.40.50.300
2e52B01 syn592 3.40.91.70
2e57B01 syn885 3.50.50.60
2e5yA01 syn789 2.60.15.10
2ehgA00 syn283 3.30.420.10
2eqaA01 syn144 3.90.870.10
2etdA00 syn604 1.20.1440.20
2f1lA01 syn363 2.40.30.60
2fe3B01 syn620 1.10.10.10
2fpoC00 syn202 3.40.50.150
2fqxA01 syn11 3.40.50.2300
2fywA01 syn409 3.40.1390.30
2g0iA00 syn500 3.30.70.1490
2gprA00 syn234 2.70.70.10
2h29A00 syn380 3.40.50.620
2h92A00 syn347 3.40.50.300
2honB01 syn127 1.10.3210.10
2hpiA01 syn612 3.20.20.140
2hroA03 syn233 3.20.20.60
2hvfA00 syn833 3.40.5.10
2i14A02 syn614 3.20.20.70
2i53A02 syn375 1.10.472.10
2i82B00 syn692 3.30.2350.10
2ic6A00 syn530 1.20.58.90
2ihyA00 syn138 3.40.50.300
2ix5A03 syn143 1.20.140.10
2jaqA00 syn330 3.40.50.300
2jaqA00 syn382 3.40.50.300
2jexA01 syn818 1.10.287.30
2kheA00 syn416 3.30.2310.20
2l04A00 syn439 2.60.40.1080
2lseA00 syn250 1.20.120.1360
2nooA01 syn169 3.40.190.10
2nq2A00 syn8 1.10.3470.10
2nr9A00 syn516 1.20.1540.10
2nwlC00 syn886 1.10.3860.10
2onkC00 syn195 1.10.3720.10
2onkC00 syn196 1.10.3720.10
2pa4A00 syn115 3.90.550.10
2pjpA01 syn730 1.10.10.10
2pn5A03 syn623 2.60.40.1940
2q5fA02 syn259 2.60.200.30
2qgzA01 syn608 3.40.50.300
2rhqB05 syn528 3.30.930.10
2rsxA00 syn33 3.10.450.420
2uubR00 syn25 4.10.640.10
2v79A00 syn352 1.10.10.10
2va1B00 syn537 3.40.1160.10
2vf7B03 syn824 3.40.50.300
2vosA01 syn823 3.40.1190.10
2vqeC02 syn665 3.30.1140.32
2vqeL00 syn148 2.40.50.140
2vqeM01 syn647 1.10.8.50
2vqeN00 syn658 4.10.830.10
2vs0A00 syn778 1.10.287.1060
2w4lB00 syn515 3.40.140.10
2wgmA01 syn795 1.20.20.10
2wssW01 syn793 1.10.520.20
2wujA00 syn353 6.10.250.660
2x0kA01 syn291 3.40.50.620
2x36D00 syn394 3.30.230.10
2xcqA01 syn6 3.40.50.670
2xcqA02 syn453 3.90.199.10
2xcqA02 syn7 3.90.199.10
2yevB01 syn593 1.10.287.90
2yv5A02 syn263 3.40.50.300
2yweA01 syn285 3.40.50.300
2z86D01 syn114 3.90.550.10
2zdiB00 syn116 1.10.287.370
2zsgA02 syn305 3.90.230.10
3a1pB00 syn667 3.30.860.10
3a1yA00 syn317 1.10.10.1410
3afgA02 syn133 3.40.50.200
3al0B03 syn687 1.10.10.410
3b79A00 syn873 3.90.70.10
3b8fB00 syn639 3.40.140.10
3bh0A00 syn834 3.40.50.300
3c8zA01 syn837 3.40.50.620
3ce8A00 syn411 3.30.70.120
3cu3A00 syn388 3.10.450.50
3cucA00 syn805 1.10.3290.10
3d31A01 syn197 3.40.50.300
3devA01 syn139 3.90.1640.10
3ekiA02 syn708 3.40.190.190
3f2bA02 syn303 3.20.20.140
3f8dA02 syn819 3.50.50.60
3fnrA02 syn535 3.40.50.620
3fppA03 syn424 6.10.140.1990
3g5sA01 syn434 3.50.50.60
3gfoA00 syn707 3.40.50.300
3gi8C00 syn797 1.20.1740.10
3gkmA00 syn54 3.40.30.10
3gnlA01 syn408 3.40.50.150
3gwiA00 syn787 3.40.1110.10
3gwiA00 syn879 3.40.1110.10
3h0lA00 syn688 3.90.1300.10
3hh1A00 syn504 3.40.1010.10
3hsiA01 syn147 3.30.870.10
3hu1A01 syn34 2.40.40.20
3ievA01 syn403 3.40.50.300
3inpA00 syn262 3.20.20.70
3ip4C01 syn689 1.10.20.60
3ipjA01 syn779 3.30.1360.60
3knuD02 syn379 1.10.1270.20
3l84A01 syn316 3.40.50.970
3lomA00 syn146 1.10.600.10
3m0fB02 syn117 1.20.1050.10
3n77A00 syn482 3.90.79.10
3na7A00 syn511 1.10.287.1490
3nvaA01 syn129 3.40.50.300
3oa3A00 syn732 3.20.20.70
3of4A00 syn302 3.40.109.10
3on1A00 syn298 3.30.1330.30
3p0rA00 syn29 3.40.50.360
3p5jB02 syn346 1.10.20.120
3p5nA00 syn345 1.10.1760.20
3py8A04 syn611 1.10.150.20
3ripA02 syn696 1.20.120.1900
3s6jE02 syn376 1.10.150.240
3tavA00 syn650 3.90.230.10
3tkaA01 syn524 3.40.50.150
3tuiA00 syn166 1.10.3720.10
3tuiA00 syn426 1.10.3720.10
